이름,직급,생년월일,입사일
김철수,대표,1975-04-12,2015-01-02
이영희,상무,1978-08-25,2016-03-15
박지민,이사,1980-11-30,2017-06-01
최현우,부장,1982-02-14,2018-02-10
정다은,부장,1983-05-20,2018-09-20
강준혁,차장,1985-12-05,2019-04-12
윤서연,차장,1986-07-18,2019-11-05
임도윤,차장,1987-03-22,2020-01-20
한지후,과장,1989-09-10,2020-05-15
오지혜,과장,1988-10-30,2020-08-01
신민재,과장,1990-01-25,2020-12-10
서유나,과장,1991-06-14,2021-02-15
황성민,과장,1989-04-05,2021-04-01
권하은,대리,1993-11-12,2021-07-20
송우진,대리,1992-08-08,2021-10-05
배지혜,대리,1991-02-10,2022-01-10
안경민,대리,1993-05-30,2022-03-15
조예진,대리,1994-07-20,2022-06-01
문태양,대리,1992-12-15,2022-08-20
양보람,대리,1994-04-01,2022-11-05
고진호,대리,1993-12-05,2023-01-15
손하윤,사원,1995-10-10,2023-03-01
유슬기,사원,1994-09-20,2023-05-10
홍나리,사원,1996-03-15,2023-07-20
심규현,사원,1995-02-25,2023-09-05
노승우,사원,1994-01-30,2023-11-15
장미래,사원,1997-08-15,2024-01-10
허윤제,사원,1996-02-22,2024-02-01
곽지수,사원,1995-10-10,2024-03-15
남궁현,사원,1997-04-17,2024-05-01
어수정,사원,1996-08-28,2024-06-10
정재현,사원,1997-02-14,2024-08-01
탁유정,사원,1996-02-12,2024-09-15
변우현,사원,1995-04-11,2024-11-01
채송화,사원,1996-04-22,2025-01-02
진태오,사원,1994-04-23,2025-01-15
표나은,사원,1994-11-18,2025-02-01
천지훈,사원,1996-08-07,2025-02-10
오시온,사원,2002-05-11,2025-03-01
테스터,사원,1995-01-01,2026-02-01
